lat,lon
  21.505692° -122.367638°
  21.031095° -120.894405°
  20.817724° -120.095953°
  26.843137° -125.718201°
  31.431281° -130.447749°
  16.822273° -144.235388°
  36.023320° -145.091439°
  33.867997° -145.604201°
  31.795603° -146.964629°
  21.289884° -145.009248°
  31.794414° -146.967688°
  37.871698° -147.339617°
  52.704241° -135.910754°
  52.490787° -136.673089°
  53.228929° -138.901189°
  41.581957° -135.572326°
  29.367637° -132.254340°
  27.973719° -129.982208°
  28.596714° -128.767471°
  29.490800° -132.616906°
  30.314292° -133.598297°
  23.143424° -127.335215°
  22.944202° -134.672797°
  22.847226° -134.891211°
  22.662545° -135.362923°
  23.046920° -134.303381°
  18.877711° -164.384026°
  13.278489° -170.994319°
  13.385644° -170.872319°
 -15.267599° -176.021422°
 -14.760214° -174.919915°
 -14.834684° -174.620450°
 -14.900851° -174.434418°
 -17.528476° -176.206181°
 -18.609307° -179.303838°
 -19.874728° -178.372595°
 -22.476049° -178.789686°
 -21.465187° -178.977635°
 -21.836873° -179.416958°
 -21.992665° -179.338033°
 -23.377904° -178.455345°
 -24.491897° -177.499791°
 -23.716922° -177.333822°
 -23.887834° -177.578032°
 -26.539199° -178.495281°
 -24.412472° -158.726632°
 -20.984236° -159.110251°
 -25.006163° -147.239278°
 -24.673620° -146.670962°
 -34.091108° -145.314855°
 -34.106505° -144.492842°
 -35.058456° -142.951664°
 -34.714891° -142.148313°
 -36.042418° -142.830285°
 -38.538834° -143.701603°
 -39.548925° -143.218787°
 -42.570563° -134.807705°
 -42.750542° -135.568467°
 -48.168292° -125.669032°
 -30.421937° -125.828641°
 -29.976127° -125.971772°
 -28.901475° -126.714447°
 -31.754440° -123.939114°
 -33.473164° -127.484974°
 -33.487781° -125.758629°
 -56.052712°  -75.955946°
 -55.803203°  -78.208414°
 -60.971211° -117.734800°
 -65.755207° -144.674025°
 -66.892182° -144.986157°
 -67.427995° -145.329291°
 -67.784655° -143.732952°
 -67.470473° -142.685708°
 -67.262948° -148.692883°
 -67.553427° -149.253974°
 -67.778710° -149.290801°
 -67.512131° -139.695917°
 -67.374737° -139.678205°
 -67.223182° -139.869511°
 -67.122877° -140.308507°
 -67.027268° -140.564637°
 -67.139554° -141.304467°
 -66.160927° -144.800262°
 -65.674050° -149.120737°
 -59.361855° -128.533734°
 -59.677190° -127.518901°
 -60.058926° -125.972957°
 -59.331147° -122.675495°
 -37.252595° -133.312283°
 -37.017189° -133.779881°
 -36.952653° -131.359802°
 -36.445845° -133.153163°
 -38.386140° -130.052160°
 -39.384288° -128.835337°
 -38.612231° -132.580985°
 -38.242422° -136.441425°
 -39.211409° -139.292982°
