number,l1_t,l1_s,model_height,lon,lat
mh249,112.209946,5.8878126,1700,-175.4955514714418,38.54079898963194
mh250,104.59822,8.175398,900,-176.3292418547269,38.6237351752531
mh251,109.14882,7.7683563,1300,-175.4871586956467,38.36396281041566
mh252,160.10632,6.0180345,1700,-175.5324926797534,38.07451535087787
mh253,76.23192,3.3323343,1100,-175.2094673886124,39.76235322892693
mh254,57.95931,3.0175626,1000,-174.3787281618539,40.02360670397252
mh255,62.545376,3.6062057,1100,-174.1569065249445,39.76024365968208
mh256,155.73163,7.4331856,1100,-174.1119935113155,38.83009191660747
mh257,87.78794,7.5411673,1000,-174.0401031902963,38.65762385596314
mh258,131.36502,6.9557695,1100,-174.4582584906488,38.48047993820228
mh259,258.96634,13.813615,1000,-173.8586022123909,38.12715419107555
mh260,187.69078,9.816355,1000,-173.5042451598457,37.69602325676166
mh261,195.4176,9.762175,1000,-173.5300463854219,37.90350020623979
mh262,182.79813,7.846387,1200,-173.837615722096,36.9205303124388
mh263,251.37344,13.768127,1500,-173.3122933262949,37.29255771549262
mh264,407.56696,26.859795,1500,-174.0498635568268,37.35634369339827
mh265,76.164955,6.19586,1000,-174.8240790448939,34.44494075569383
mh266,91.44594,4.627158,800,-172.26567300528,34.13879719100601
mh267,79.110245,4.5694795,600,-172.1176697621345,34.22718129545835
mh268,79.22499,3.6088145,600,-173.2577121314226,33.83299110883449
mh269,69.21165,3.467972,600,-173.4591735598122,33.76470366749525
mh270,69.40928,3.1457572,800,-171.2770590129445,34.50443522072305
mh271,64.06417,2.695581,800,-170.8797066279299,33.93963866409138
mh272,88.422104,3.5398667,800,-171.7939461867607,33.96308994835217
mh273,99.54305,4.3035975,900,-171.6434908525175,34.02937760675036
mh274,155.93904,8.242,1000,-172.0812444496869,34.84623430498699
mh275,116.66172,6.8833237,800,-172.150073101003,34.62770559283125
mh276,539.65985,13.766205,1400,-179.574467672665,31.4892587111044
mh277,375.05942,8.019373,1400,-179.3763239308151,31.47140126471411
mh278,403.33887,10.375278,1600,-179.4862841295939,31.06526142228857
mh279,286.97974,5.1270156,1000,-179.3926847706016,30.86973410354283
mh280,70.85786,3.5474813,700,-179.3319324620331,30.5007089981402
mh281,103.92968,6.050205,800,-178.8566884979082,30.36132580314409
mh282,158.1633,8.999761,1000,-178.8216505248795,30.19533923139678
mh283,116.71276,6.848507,1000,-178.6036863497554,31.98937820493374
mh284,169.26614,11.300973,1000,-178.3273010755643,32.31957740273429
mh285,118.4795,10.143411,900,-178.1478653340727,32.37390698402988
mh286,90.293816,4.678795,700,-178.3726204236608,30.46632378869033
mh287,149.39584,6.6849384,800,-177.8430362126679,31.33248220791679
mh288,81.77321,4.7946167,800,-177.5942530406692,31.42241818871767
mh289,128.16962,5.353275,1200,-177.4563061996449,31.71342578477863
mh290,169.75552,6.933123,900,-177.1811312149738,31.76898027833137
mh291,100.790016,3.8946245,800,-176.390789196548,30.75816014020135
mh292,146.66809,7.4181085,800,-176.6056040121027,30.85558130047667
mh293,242.99365,5.6466537,1400,-176.2322107552296,31.39876433470263
mh294,216.05673,11.960445,1000,-177.1022847844135,32.27278775927001
mh295,127.72186,6.6295366,1000,-177.2430308871569,32.07614249774222
mh296,189.91867,8.365383,1300,-176.8559260814517,32.77647917453844
mh297,125.81504,7.1764507,900,-176.9606722962099,32.13117494282594
mh298,89.879364,4.2607594,900,-179.0236350196203,31.85112667658449
mh299,223.33798,9.091084,900,-179.4466567254881,31.93496342688626
mh300,134.16986,7.0430737,1200,-176.4683515223052,32.9543121522903
mh301,160.74048,8.08102,1500,-176.865729033331,32.35425035442418
mh302,108.18383,6.8511047,900,-177.0492199944759,32.06854870659165
mh303,322.34857,8.365848,1000,-177.3149552727622,32.36837815387032
mh304,210.89261,4.723685,600,-175.7062195149284,31.1484266484968
mh305,88.933556,4.191132,700,-175.5025022467181,31.2145694131211
mh306,176.92094,10.681815,900,-175.7155513825059,30.91700385200712
