,lat,lon,cluster
115,-18.69791666666667,-112.25625,70
116,-18.69791666666667,-112.24375,15
117,-18.69791666666667,-112.23125,15
118,-18.69791666666667,-112.22708333333334,15
119,-18.69791666666667,-112.22291666666666,15
120,-18.69791666666667,-112.21875,15
121,-18.69791666666667,-112.21458333333334,15
122,-18.69791666666667,-112.21041666666667,15
123,-18.69791666666667,-112.20625,15
124,-18.693749999999994,-112.24375,15
125,-18.693749999999994,-112.23125,15
126,-18.693749999999994,-112.22708333333334,15
127,-18.693749999999994,-112.22291666666666,15
128,-18.693749999999994,-112.21875,15
129,-18.693749999999994,-112.21458333333334,15
130,-18.693749999999994,-112.21041666666667,15
131,-18.693749999999994,-112.20625,15
132,-18.68958333333333,-112.24375,15
133,-18.68958333333333,-112.23125,15
134,-18.68958333333333,-112.22708333333334,15
135,-18.68958333333333,-112.22291666666666,15
136,-18.68958333333333,-112.21875,15
137,-18.68958333333333,-112.21458333333334,15
138,-18.68958333333333,-112.21041666666667,15
139,-18.68541666666667,-112.23125,15
140,-18.68541666666667,-112.22708333333334,15
141,-18.68541666666667,-112.22291666666666,15
142,-18.68541666666667,-112.21875,15
143,-18.68541666666667,-112.21458333333334,15
144,-18.631249999999994,-110.69375,25
145,-18.631249999999994,-110.68125,25
146,-18.62708333333333,-110.69375,25
147,-18.62708333333333,-110.68125,25
148,-18.62708333333333,-110.66875,25
149,-18.62708333333333,-110.66458333333334,25
150,-18.62291666666667,-110.69375,25
151,-18.62291666666667,-110.68125,25
152,-18.62291666666667,-110.66875,25
153,-18.62291666666667,-110.66458333333334,25
154,-18.62291666666667,-110.66041666666666,25
155,-18.61458333333333,-110.70625,25
156,-18.61458333333333,-110.69375,25
157,-18.61458333333333,-110.68125,25
158,-18.61458333333333,-110.66875,25
159,-18.61458333333333,-110.66458333333334,25
160,-18.61458333333333,-110.66041666666666,25
161,-18.610416666666666,-110.71041666666667,25
162,-18.610416666666666,-110.70625,25
163,-18.610416666666666,-110.69375,25
164,-18.610416666666666,-110.68125,25
165,-18.610416666666666,-110.66875,25
166,-18.610416666666666,-110.66458333333334,25
167,-18.610416666666666,-110.66041666666666,25
168,-18.606250000000003,-110.71041666666667,25
169,-18.606250000000003,-110.70625,25
170,-18.606250000000003,-110.69375,25
171,-18.606250000000003,-110.68125,25
172,-18.606250000000003,-110.66875,25
173,-18.606250000000003,-110.66458333333334,25
174,-18.606250000000003,-110.66041666666666,25
175,-18.60208333333334,-110.70625,25
176,-18.60208333333334,-110.69375,25
177,-18.60208333333334,-110.68125,25
178,-18.60208333333334,-110.66875,25
179,-18.60208333333334,-110.66458333333334,25
180,-18.60208333333334,-110.66041666666666,25
181,-18.597916666666663,-110.69375,25
182,-18.597916666666663,-110.68125,25
183,-18.597916666666663,-110.66875,25
184,-18.597916666666663,-110.66458333333334,25
185,-18.59375,-110.69375,25
186,-18.59375,-110.68125,25
187,-18.59375,-110.66875,25
188,-18.59375,-110.66458333333334,25
189,-18.589583333333337,-110.68125,25
190,-18.589583333333337,-110.66875,25
191,-18.585416666666674,-110.68125,25
192,-18.51041666666667,-111.22291666666666,36
193,-18.51041666666667,-111.21875,36
194,-18.51041666666667,-111.21458333333334,36
195,-18.51041666666667,-111.21041666666667,36
196,-18.51041666666667,-111.20625,36
197,-18.506249999999994,-111.22708333333334,36
198,-18.506249999999994,-111.22291666666666,36
199,-18.506249999999994,-111.21875,36
200,-18.506249999999994,-111.21458333333334,36
201,-18.506249999999994,-111.21041666666667,36
202,-18.506249999999994,-111.20625,36
203,-18.506249999999994,-111.19375,36
204,-18.50208333333333,-111.22708333333334,36
205,-18.50208333333333,-111.22291666666666,36
206,-18.50208333333333,-111.21875,36
207,-18.50208333333333,-111.21458333333334,36
208,-18.50208333333333,-111.21041666666667,36
209,-18.50208333333333,-111.20625,36
210,-18.50208333333333,-111.19375,36
211,-18.49791666666667,-111.22291666666666,36
212,-18.49791666666667,-111.21875,36
213,-18.49791666666667,-111.21458333333334,36
214,-18.49791666666667,-111.21041666666667,36
215,-18.49791666666667,-111.20625,36
216,-18.48958333333333,-112.39375,7
217,-18.48958333333333,-111.20625,36
218,-18.485416666666666,-112.40625,7
219,-18.485416666666666,-112.40208333333334,7
220,-18.485416666666666,-112.39791666666667,7
221,-18.485416666666666,-112.39375,7
222,-18.485416666666666,-112.38125,7
223,-18.481250000000003,-112.41041666666666,7
224,-18.481250000000003,-112.40625,7
225,-18.481250000000003,-112.40208333333334,7
226,-18.481250000000003,-112.39791666666667,7
227,-18.481250000000003,-112.39375,7
228,-18.481250000000003,-112.38125,7
229,-18.47708333333334,-112.45625,75
230,-18.47708333333334,-112.44375,75
231,-18.47708333333334,-112.41458333333334,7
232,-18.47708333333334,-112.41041666666666,7
233,-18.47708333333334,-112.40625,7
234,-18.47708333333334,-112.40208333333334,7
235,-18.47708333333334,-112.39791666666667,7
236,-18.47708333333334,-112.39375,7
237,-18.47708333333334,-112.38125,7
238,-18.47708333333334,-112.36875,7
239,-18.472916666666663,-112.46458333333334,75
240,-18.472916666666663,-112.46041666666667,75
241,-18.472916666666663,-112.45625,75
242,-18.472916666666663,-112.44375,75
243,-18.472916666666663,-112.41875,7
244,-18.472916666666663,-112.41458333333334,7
245,-18.472916666666663,-112.41041666666666,7
246,-18.472916666666663,-112.40625,7
247,-18.472916666666663,-112.40208333333334,7
248,-18.472916666666663,-112.39791666666667,7
249,-18.472916666666663,-112.39375,7
250,-18.472916666666663,-112.38125,7
251,-18.472916666666663,-112.36875,7
252,-18.46875,-112.47708333333334,75
253,-18.46875,-112.47291666666666,75
254,-18.46875,-112.46875,75
255,-18.46875,-112.46458333333334,75
256,-18.46875,-112.46041666666667,75
257,-18.46875,-112.45625,75
258,-18.46875,-112.44375,75
259,-18.46875,-112.43125,7
260,-18.46875,-112.41875,7
261,-18.46875,-112.41458333333334,7
262,-18.46875,-112.41041666666666,7
263,-18.46875,-112.40625,7
264,-18.46875,-112.40208333333334,7
265,-18.46875,-112.39791666666667,7
266,-18.46875,-112.39375,7
267,-18.46875,-112.38125,7
268,-18.46875,-112.36875,7
269,-18.464583333333337,-112.48125,75
270,-18.464583333333337,-112.47708333333334,75
271,-18.464583333333337,-112.47291666666666,75
272,-18.464583333333337,-112.46875,75
273,-18.464583333333337,-112.46458333333334,75
274,-18.464583333333337,-112.46041666666667,75
275,-18.464583333333337,-112.45625,75
276,-18.464583333333337,-112.44375,75
277,-18.464583333333337,-112.43125,7
278,-18.464583333333337,-112.41875,7
279,-18.464583333333337,-112.41458333333334,7
280,-18.464583333333337,-112.41041666666666,7
281,-18.464583333333337,-112.40625,7
282,-18.464583333333337,-112.40208333333334,7
283,-18.464583333333337,-112.39791666666667,7
284,-18.464583333333337,-112.39375,7
285,-18.464583333333337,-112.38125,7
286,-18.464583333333337,-112.36875,7
287,-18.460416666666674,-112.49375,75
288,-18.460416666666674,-112.48125,75
289,-18.460416666666674,-112.47708333333334,75
290,-18.460416666666674,-112.47291666666666,75
291,-18.460416666666674,-112.46875,75
292,-18.460416666666674,-112.46458333333334,75
293,-18.460416666666674,-112.46041666666667,75
294,-18.460416666666674,-112.45625,75
295,-18.460416666666674,-112.44375,75
296,-18.460416666666674,-112.43125,7
297,-18.460416666666674,-112.41875,7
298,-18.460416666666674,-112.41458333333334,7
